ID VALUE SCORE
69231511 89051.173 0.09
27175136 67674.017 0.141
75593452 87444.41 0.367
29360689 68273.92 0.74
74561557 223528.699 0.505
11639006 132282.387 0.793
16378001 330465.719 0.361
22276572 38924.564 0.42
67140752 933146.606 0.954
85278029 383939.504 0.05
21196120 90520.345 0.884
79954633 237633.953 0.076
43957595 38277.657 0.177
24157952 143362.084 0.588
15906661 96497.864 0.456
43791109 125468.94 0.168
81673607 399418.024 0.673
51095142 5494.99 0.897
84063125 202313.614 0.608
50911321 306132.346 0.993
16271491 101033.782 0.199
61708914 107054.352 0.823
3782131 411494.327 0.682
50363951 453132.068 0.396
81900933 12496.811 0.123
67327590 432142.408 0.34
9876086 241935.815 0.011
40212331 218456.674 0.886
88023069 650541.24 0.382
89051705 592320.002 0.469
60833907 138970.394 0.181
95482361 27632.557 0.831
77587387 15697.362 0.906
57202406 699409.35 0.7
74426777 3538.757 0.31
11894071 18904.778 0.218
56049662 180347.009 0.878
95858011 100071.105 0.892
38305604 489512.035 0.75
2003112 467.688 0.218
