ID VALUE SCORE
99197976 631640.379 0.914
32912934 268533.113 0.292
69192053 74459.956 0.749
93104281 380975.406 0.356
59325711 19954.035 0.299
37766550 486701.825 0.68
735652 256607.89 0.552
24340178 36266.614 0.617
72184589 197223.179 0.53
93303361 384824.908 0.213
7344642 66519.439 0.818
4087536 651588.883 0.839
41854884 5247.754 0.637
71729767 156807.444 0.944
15907425 461079.804 0.09
367295 15700.434 0.03
52467822 187053.35 0.082
12710298 758286.571 0.93
44069791 25128.838 0.835
3646388 120922.893 0.181
71962871 341576.447 0.94
11867108 78980.967 0.393
75042666 719091.419 0.115
26030984 294.972 0.425
97036257 648261.875 0.973
17198769 497376.085 0.943
66904657 335471.338 0.591
70003626 538371.59 0.873
53322854 729951.699 0.647
23786869 169367.798 0.672
90764771 313369.179 0.889
23861773 571745.562 0.48
94207018 653141.512 0.57
60511259 55406.317 0.092
79156869 11370.369 0.049
10230706 86974.511 0.798
24653823 302811.815 0.97
38954682 436268.717 0.769
20620008 75587.822 0.15
83848946 773366.833 0.112
18071675 371363.071 0.656
2749591 313280.227 0.6
46799913 150123.067 0.86
28853410 299493.428 0.371
24641370 782099.528 0.474
83790863 465054.271 0.161
16552113 110327.833 0.604
25782 438701.197 0.217
81874208 216552.669 0.862
34957523 153253.342 0.593
27438949 763798.36 0.314
46864490 4864.54 0.955
73192858 467770.541 0.642
59848411 326457.683 0.369
79911447 35777.177 0.698
96070697 199378.16 0.868
36102701 24648.116 0.217
82662100 267164.485 0.769
70940840 13038.934 0.904
76821961 77109.904 0.275
18016456 204378.33 0.958
68028418 96257.683 0.245
53224351 59043.501 0.776
67693690 448848.845 0.874
61062932 675041.36 0.475
38545035 63998.128 0.431
77512560 530626.599 0.707
19319121 200667.263 0.792
80500448 116737.726 0.046
40405659 227538.596 0.243
3052585 87584.485 0.413
1730496 96717.559 0.642
89040082 421101.631 0.912
55367348 938331.848 0.483
23021026 632687.744 0.386
68902159 32201.178 0.429
45645965 135390.147 0.748
663653 121082.017 0.694
22296880 342722.995 0.438
30450433 182410.857 0.686
80694050 305422.852 0.08
86654877 84040.844 0.995
94203640 2007.056 0.407
6941141 248975.272 0.014
1600596 250118.552 0.51
94323546 645567.476 0.726
21588204 485760.211 0.166
1159678 190515.461 0.075
32805046 286516.441 0.661
91741570 326085.918 0.039
47021161 57392.063 0.686
59551665 317407.983 0.258
19662537 25777.858 0.577
22646804 429161.809 0.498
17905439 4330.574 0.752
12270100 32871.842 0.117
77695583 116090.644 0.594
19697424 170585.031 0.352
71446482 57460.05 0.034
15678929 442838.938 0.591
55702634 13084.548 0.519
23102216 212553.334 0.056
30206972 287989.146 0.011
41939827 122455.396 0.735
78670135 297744.938 0.339
41761017 43568.67 0.308
78898403 67850.082 0.437
70310995 116910.862 0.955
94174237 42426.138 0.35
54029233 531306.004 0.407
6356892 404976.112 0.778
78114035 36605.659 0.616
64557607 481952.242 0.265
3643526 26618.597 0.077
29556298 7652.339 0.665
22540198 217504.737 0.354
84752947 405643.014 0.3
18152432 101576.101 0.932
24054462 191197.121 0.653
5038516 561581.493 0.926
19478814 534473.811 0.251
30893767 14845.335 0.904
87274866 392902.15 0.541
29401953 543745.358 0.844
20241214 58654.248 0.349
48416018 109693.176 0.227
58487510 55663.282 0.708
49447111 704033.932 0.194
4598219 200842.201 0.789
64370037 297457.363 0.024
14667053 13432.984 0.946
84773442 569634.509 0.618
24108790 834962.492 0.995
52720855 488938.338 0.693
830875 76845.861 0.705
77815973 231649.406 0.039
62460830 76849.875 0.177
14263257 700170.163 0.716
86568444 289468.772 0.131
62981940 530195.335 0.304
87766389 266203.156 0.344
15733203 78747.179 0.851
27400382 103410.873 0.873
72898090 136474.578 0.1
50400820 29023.614 0.179
94448936 47314.395 0.504
33923506 316939.713 0.848
22606992 128924.575 0.966
99047277 504615.194 0.962
12612602 86332.353 0.455
89740829 49166.891 0.598
59953080 248859.355 0.174
1459699 665138.106 0.059
27612863 239355.046 0.943
14523284 95243.073 0.765
38555601 532146.992 0.931
11925371 193853.809 0.613
40649635 297153.983 0.299
34032021 232592.527 0.55
39755523 156239.154 0.364
6750480 467604.978 0.871
62369662 119327.383 0.82
86055187 83214.028 0.271
33472882 772875.84 0.726
31040309 81722.218 0.891
93835147 616603.736 0.931
90379897 562430.365 0.41
27379081 371843.59 0.651
24659623 623019.202 0.631
16809447 206495.568 0.495
17753824 549065.753 0.891
32242313 176777.016 0.912
42644604 309095.005 0.095
70225171 517327.638 0.473
43756150 19624.811 0.385
26019471 424172.454 0.553
25566881 419737.378 0.463
49432096 290384.73 0.013
64750273 396554.186 0.52
20718182 11304.075 0.103
76758115 16455.992 0.151
27594055 63868.219 0.778
82471314 546.301 0.036
47835085 546052.515 0.388
49124515 144195.076 0.844
15458614 305401.41 0.077
97704043 49698.108 0.564
52396757 101509.698 0.663
49679886 75688.193 0.75
63932904 426117.4 0.67
27526591 725294.075 0.046
78140678 296568.756 0.462
21528802 740451.704 0.619
33844568 167144.979 0.569
25654189 38719.535 0.39
20078979 601754.26 0.41
10775638 64337.83 0.128
85034370 585487.668 0.25
76103544 13496.018 0.551
28159122 51724.696 0.585
15702679 469316.523 0.491
56170005 85449.976 0.657
16218945 289654.513 0.189
12678702 4680.463 0.888
35112895 3594.488 0.592
99174578 47181.106 0.945
98441684 83994.253 0.904
61542212 117749.691 0.26
62739671 88628.174 0.71
6245734 13066.917 0.16
49880973 4447.736 0.546
70460071 278001.693 0.421
53564491 233362.078 0.023
69979442 303403.378 0.618
65899436 167968.203 0.794
97193300 275586.542 0.903
62640398 356648.418 0.785
99358505 389730.034 0.109
24373063 72492.852 0.201
71280617 202748.267 0.676
13547820 167783.846 0.19
15172098 124171.424 0.269
66660465 513303.392 0.215
24888074 162294.115 0.114
20975135 280156.722 0.597
14543827 86112.142 0.553
26766854 771764.669 0.264
11507357 416431.915 0.978
82049154 103252.74 0.321
66758172 342697.203 0.748
81509021 383640.928 0.247
97495815 43.665 0.609
99137556 27947.736 0.993
86986775 27923.007 0.626
97255809 35723.68 0.139
57107476 546527.321 0.318
37464581 80202.13 0.553
82402683 164833.352 0.204
63208078 14929.33 0.274
16222105 253392.881 0.26
29664740 66572.217 0.679
89288210 27460.131 0.407
29676461 179683.518 0.385
81829713 81284.178 0.855
56240925 91809.58 0.034
2763453 306717.196 0.177
6278158 18990.147 0.092
51568372 177527.762 0.157
35834527 147111.919 0.763
85782315 260153.788 0.886
69873956 308275.073 0.832
24176034 258058.718 0.09
60025661 29554.894 0.035
91115877 480578.313 0.577
64902396 117186.492 0.258
67080047 455891.026 0.535
59677153 188346.521 0.741
72327117 414550.115 0.593
81455733 804232.923 0.601
18284167 193026.151 0.489
67701112 799893.146 0.424
98729641 344628.658 0.621
67920315 778414.635 0.315
78037949 113327.563 0.985
97856748 273916.054 0.909
11070960 42672.112 0.742
81996881 130876.611 0.532
62567261 590399.63 0.439
64673646 15738.611 0.738
85659984 90064.482 0.775
54026350 21430.87 0.853
55043418 25825.771 0.96
1937867 168964.715 0.491
94665836 432197.203 0.634
94258876 302768.894 0.571
76031913 366413.818 0.825
48770364 149679.831 0.868
88387570 92287.02 0.278
10713565 635901.337 0.789
93013129 2447.478 0.332
38369434 154693.842 0.646
95192137 64407.68 0.76
61950539 71165.039 0.174
58518952 51982.277 0.47
87474209 285104.968 0.106
12582853 67275.133 0.02
13351478 14544.772 0.526
77390375 891702.451 0.92
20575550 163779.366 0.299
22012296 71143.136 0.694
62488023 85421.99 0.116
80419634 33523.372 0.001
26727849 488697.187 0.958
35736252 288177.261 0.439
39001488 10948.596 0.648
46117914 26696.772 0.089
83134006 88734.647 0.653
65479484 195046.597 0.558
11762393 619509.212 0.925
29777733 277689.295 0.741
74141816 326478.716 0.195
67357592 23281.201 0.063
98750722 76317.035 0.616
45851417 375582.542 0.222
328749 515898.758 0.791
65950761 499388.308 0.507
92781971 1970.341 0.053
46198910 196006.737 0.185
9871797 252852.784 0.002
52679168 274478.652 0.266
20583249 201093.198 0.914
30270224 168805.348 0.021
74762472 105030.697 0.092
86578135 33973.005 0.367
43136807 303502.054 0.343
50992118 156920.745 0.681
11210638 87242.272 0.38
53222555 107658.723 0.606
41614582 1138.443 0.022
18951031 113142.79 0.971
54360825 9506.012 0.975
70040168 40669.679 0.842
77142562 46465.373 0.015
28984944 605666.526 0.013
74147125 351800.869 0.594
65814884 291156.899 0.797
81410039 257408.816 0.272
62187604 153379.067 0.424
13473912 698386.159 0.93
59339602 16287.524 0.176
30473625 379171.757 0.805
19729056 147708.359 0.654
79213675 90277.725 0.409
33309556 221084.085 0.839
42726989 138166.58 0.188
25284892 11699.241 0.65
37819921 508707.629 0.671
40973324 262190.596 0.893
10940724 139069.492 0.58
94114807 25080.544 0.838
69693523 781479.863 0.011
97160511 123584.857 0.77
90387183 8010.376 0.045
50535088 37389.13 0.99
31035358 153373.569 0.459
28298776 52457.779 0.238
68555487 80884.244 0.384
56471111 95087.095 0.798
65992283 857106.709 0.062
8179876 60524.088 0.533
53476674 110838.184 0.542
43245135 229497.189 0.842
901502 74852.135 0.014
63882041 482980.245 0.6
5922309 286619.355 0.67
7038618 3052.269 0.728
27156825 555146.034 0.413
99142810 130331.809 0.709
86111071 160996.773 0.978
59613734 55919.547 0.932
67085557 225182.558 0.358
18203449 276779.933 0.697
41588533 138393.728 0.156
41378452 161874.001 0.981
60654447 361916.875 0.961
86325833 180414.166 0.605
87204794 196570.786 0.704
96281387 46507.353 0.329
37897948 357391.637 0.753
37494623 66885.01 0.624
64225794 132981.876 0.664
88630740 207231.467 0.161
47875490 666342.207 0.067
12620245 257046.415 0.238
44012065 45770.439 0.777
63623365 903550.569 0.394
33389378 3490.818 0.79
16794961 140724.234 0.253
42159477 348463.243 0.943
2941255 592821.224 0.404
79270693 71474.402 0.767
26270301 56473.866 0.789
40086457 262136.955 0.836
17061895 7564.253 0.012
66765772 93104.347 0.863
78498720 8449.528 0.466
61675317 294457.998 0.72
67911696 488827.265 0.717
26722833 93935.906 0.404
37655392 417801.172 0.064
78321333 592714.64 0.33
98469963 104493.427 0.592
77274726 536778.914 0.273
16572250 7491.072 0.571
70015736 3902.822 0.481
17642986 85887.55 0.058
72997661 263826.884 0.803
23465509 396922.617 0.815
85953350 731046.289 0.559
92156300 249479.808 0.231
81860051 4224.466 0.965
72165547 271136.808 0.556
85033561 503263.959 0.499
25798335 313733.731 0.158
24568738 390729.961 0.586
65995272 293651.574 0.943
96808292 197984.343 0.315
22515436 755856.094 0.092
23851600 662654.906 0.091
10589299 201919.932 0.061
31052038 40787.41 0.053
35404870 102976.74 0.109
29202267 125551.963 0.807
40197788 163950.259 0.081
34026815 53348.986 0.995
52113699 81616.48 0.972
45332744 404300.375 0.389
92904393 10317.988 0.169
7920623 166645.84 0.503
93976119 338034.714 0.849
38710650 146920.191 0.247
38721726 504302.326 0.423
10148345 60636.051 0.989
11273455 260984.001 0.153
37938654 82240.463 0.138
1112247 193566.106 0.227
51040646 153693.007 0.511
7590846 1378.021 0.033
82487404 109160.969 0.958
28841050 431981.483 0.108
46132307 45172.438 0.944
15380332 387491.248 0.447
29044616 615653.187 0.608
57524851 918473.413 0.207
2377106 231.0 0.159
50383140 311395.009 0.488
17944811 259159.344 0.752
3585824 146557.584 0.045
82146924 437817.499 0.075
42327305 79107.033 0.263
33213785 348545.034 0.295
23532099 248419.205 0.133
29235394 561362.603 0.994
20349020 87092.034 0.452
82453485 117316.478 0.966
