ID VALUE SCORE
4820070 593631.33969 0.00067
37085852 83100.42476 0.00478
37677121 11112.09218 0.00549
13022682 242382.29158 0.00688
61843904 301487.55411 0.01197
81697229 370298.43512 0.01205
90192942 2555.70812 0.01584
93294954 645977.25708 0.01609
93853986 75939.56724 0.01639
20881659 460518.88851 0.01951
13824218 30830.73089 0.01978
86419787 90839.35883 0.01984
3092788 337899.80553 0.02208
7242482 90295.66855 0.02326
55668694 236109.46527 0.02383
94434764 30757.6043 0.0341
10994636 541195.86399 0.03549
67042887 474633.23114 0.03963
36030042 258572.79674 0.04217
95403760 260507.51991 0.04909
46024215 106193.69358 0.05393
96391387 89975.44633 0.05496
49139774 44591.81315 0.05556
89907250 187574.45376 0.05721
44717995 2337.95897 0.05785
22653953 10928.60195 0.06101
96275032 19448.38164 0.06366
11304513 911038.57219 0.06637
21028260 46866.34741 0.06834
30569694 103596.21864 0.07044
16021162 71381.24225 0.07076
79487047 680283.96302 0.07216
40675791 206806.30002 0.07499
31507695 454100.53199 0.07619
52294870 14390.97002 0.07692
37600992 36273.9401 0.07816
19387965 330619.33894 0.08517
51992903 570051.95392 0.08605
47251241 193267.86718 0.08938
80369354 28668.37413 0.09111
73063163 977.48993 0.09199
44260903 142708.15364 0.09243
45265418 491840.16949 0.09599
56650529 885241.61195 0.1026
92561425 10010.48716 0.10313
16587862 179785.43453 0.10365
13387459 261937.14926 0.1042
2954665 192175.16272 0.10434
1512668 32578.9595 0.10542
15091286 316560.28115 0.10976
20546079 390064.71784 0.11438
69719653 26001.98923 0.11703
117191 19114.80517 0.11853
1254458 210133.82489 0.12177
40678564 48686.49575 0.12478
45878722 276127.00259 0.12699
77450658 9757.06806 0.1272
12441875 432550.10167 0.12889
99578555 7766.79517 0.12917
1654382 96797.43324 0.12973
58210236 258995.50885 0.13199
44477776 285591.26931 0.13596
98536112 483142.93234 0.13605
62474450 158781.44232 0.13626
22030912 243606.76691 0.13797
20308619 69750.41056 0.13905
15377997 58562.58222 0.13932
91285568 630516.2241 0.15295
33217269 696135.72446 0.15607
56379842 574871.58541 0.15615
548669 456.28146 0.16121
1722994 14244.48032 0.16315
84406245 872821.79968 0.16324
62876169 720408.04855 0.16355
48801546 392100.10415 0.16735
98760107 71947.12473 0.16976
43591551 266289.25783 0.18224
61706731 229981.06496 0.18227
94658925 430085.95594 0.18411
86756584 493265.95949 0.1865
99858102 103717.9158 0.19009
78791365 730.85492 0.19557
64392452 607263.94821 0.19768
97100204 17107.16592 0.19856
12682178 317278.09564 0.20189
74337056 576643.3616 0.20726
30668257 5870.17223 0.20733
55069824 83940.92018 0.2092
58222537 397485.64741 0.21258
64977543 346420.43506 0.21727
61063868 79369.22296 0.22056
19889329 53499.04681 0.22159
86659000 337608.61379 0.22321
27572444 8986.59171 0.22407
98606208 121222.76771 0.22473
68448905 1004.06081 0.225
53674799 261817.46481 0.22619
96213023 586180.23972 0.22749
77865491 164428.45152 0.2298
78529604 67110.52386 0.23488
93555818 48548.43534 0.23893
20878633 243400.01496 0.2425
32068111 1823.79396 0.24497
74145605 361884.3757 0.25143
38588371 31580.48219 0.25183
80104935 244229.2968 0.26225
17064487 497241.50433 0.26337
50517808 287317.33832 0.26346
69677788 149274.88945 0.26431
56701980 473832.89407 0.26725
57424833 778295.14665 0.26952
79229478 754312.84945 0.27305
79291925 11965.03758 0.27324
22018954 797505.69162 0.27559
50897675 804534.07135 0.27699
71848626 633129.00095 0.27859
36705161 338860.19563 0.27862
71042651 797441.98242 0.28322
