ID VALUE SCORE
58147894 6367.68229 6e-05
24957135 57188.74959 9e-05
72837360 226928.26828 0.00012
43845168 123110.49826 0.00014
31785352 198113.93512 0.00014
63558096 336004.85977 0.00021
40712372 227836.89816 0.00021
41896836 435157.43186 0.00023
68317529 42161.94593 0.00025
18334034 14861.86506 0.00031
88926554 294074.91469 0.00033
88302895 124821.81987 0.00033
71404205 744519.52176 0.00034
74996071 14082.53475 0.00036
67766711 316254.95915 0.00037
28800318 253465.53697 0.00038
11336110 278479.02819 0.00041
29565503 156582.23354 0.00046
97224494 338874.63995 0.00048
9045991 346198.20943 0.00048
53486128 24190.52538 0.00051
92409393 412147.35895 0.00052
84479068 8585.49344 0.00059
27097951 186586.86104 0.00061
69604640 628394.5396 0.00072
48357181 506029.67834 0.00084
79752242 794904.81443 0.00086
33643920 101979.19831 0.00086
69896351 239890.01496 0.00088
29808526 4714.36095 0.00088
80088342 146672.235 0.00088
16639912 16811.59917 0.00091
30431952 63266.79741 0.00092
5101330 854128.43282 0.00092
41665926 184935.76514 0.00094
19844573 212626.56387 0.00094
19824057 413819.33759 0.00097
24202198 138508.58148 0.00098
38146638 179409.85896 0.00099
86896405 440127.33913 0.001
43403427 182258.38126 0.00102
46051733 146550.56536 0.00104
21146768 50245.705 0.00105
96351524 363149.01013 0.00106
7490022 10569.30641 0.00109
26336865 378080.36295 0.00111
89688578 530714.89135 0.00111
18355361 463556.46942 0.00111
58554150 34604.28524 0.00112
72328853 861274.90596 0.00112
70230715 458853.91409 0.00117
77018474 98183.19957 0.00122
11112967 51059.69129 0.00122
69910885 211088.74364 0.00125
65494511 99134.50786 0.0013
7156932 140527.64987 0.00134
59361206 246454.13178 0.00135
34709010 307740.22311 0.00137
23130277 44465.08306 0.0014
25238379 79147.911 0.00142
5305020 230112.92947 0.00144
30788062 369425.3116 0.00146
37181113 433735.30731 0.00147
45248577 148748.4549 0.00153
64644976 87250.64899 0.00158
19873841 20848.79585 0.00159
70712015 63899.2092 0.0016
33984279 22837.8002 0.0016
28782771 83968.85367 0.00161
61106777 263517.37885 0.00161
84129040 14555.13282 0.00164
72716176 326542.66115 0.00167
30819175 14360.15571 0.00169
4353635 533645.89036 0.00174
96457238 25389.21279 0.00177
34201548 8467.51004 0.00177
1056103 40604.40947 0.00178
69257443 283745.67698 0.00178
6491284 368824.52847 0.0018
37383517 439294.50595 0.00183
20703227 21418.61632 0.00184
49385283 28928.60059 0.0019
33890177 298934.72504 0.00191
9995209 145186.95048 0.00195
12559732 10680.23743 0.00197
45659572 188150.33548 0.00197
26203440 351923.01708 0.00204
93585892 197449.62865 0.0021
42826365 244467.3135 0.00214
47578238 83634.7048 0.00214
54067661 235507.39136 0.00218
53103255 836274.59787 0.00218
96615250 180281.90302 0.00219
12164049 122046.18343 0.00222
85431913 255380.4194 0.00222
20671037 354303.59589 0.00222
37319238 398681.29412 0.00222
26732176 812327.67592 0.00223
76722687 88791.79759 0.00224
94749087 87156.48361 0.00224
30308189 187562.58327 0.00232
62029 29767.31554 0.00233
24388674 49909.6704 0.00239
29377389 210976.20645 0.00245
15721687 530044.48892 0.00246
23130524 36015.13519 0.00246
72858026 222362.00466 0.00252
30085674 6409.29023 0.00255
42429186 88759.60659 0.00256
16659234 168877.35432 0.00261
47204154 153972.9355 0.00262
43695993 553509.82382 0.00272
74405163 18096.08852 0.00277
88670965 210580.20135 0.00279
43693314 387426.23913 0.00281
83427843 122163.94157 0.00282
42283420 247308.65709 0.00285
71037349 29123.97274 0.00285
66669762 318061.99082 0.00285
52810995 137169.62985 0.00289
96929176 94722.46003 0.00292
85883340 49834.48039 0.00296
41176955 495442.21851 0.00297
51105859 462897.58012 0.00301
19530659 160726.06801 0.00301
7581081 3644.25116 0.00302
72112154 781011.93331 0.00303
80143047 834196.7983 0.00308
44799630 357953.64701 0.0031
30724997 598364.93632 0.00317
97150981 226754.47036 0.00319
15181957 8686.71707 0.00321
39344770 519440.21346 0.00322
96689460 147374.13993 0.00323
23983167 600059.95443 0.00325
89857352 138234.11939 0.00331
7985889 221419.3448 0.00333
88289676 4560.61129 0.00334
52044920 685229.31835 0.00337
54765008 461933.45393 0.00338
43677438 802158.79945 0.00339
31179846 640971.07817 0.00341
52039843 226957.60667 0.00343
69491747 200552.57837 0.00343
22571744 200610.48828 0.00343
84390333 396441.16898 0.00344
12849927 837854.21508 0.00344
48641745 204532.1165 0.00345
22314338 98034.39568 0.00348
32466006 157310.07685 0.00348
11246592 86962.44996 0.00348
69443339 569061.29002 0.0035
5461615 128718.44789 0.00351
63090785 56791.13167 0.00353
54257136 690077.78583 0.00354
8821327 668654.07184 0.00356
97660523 193556.35009 0.00356
59940030 362006.58598 0.00356
12755348 58036.85006 0.00356
43147504 708625.15774 0.00358
56904966 331605.23142 0.00358
3204972 82687.10997 0.00359
60666350 678281.61902 0.00362
28042899 413096.03119 0.00363
93928233 282945.43497 0.00364
69596519 175694.82824 0.00364
57799315 350647.0242 0.00367
23437569 484738.71421 0.00369
71218837 663112.0551 0.00369
90866110 855803.6017 0.00375
31247814 775546.38056 0.00375
11672326 95378.36927 0.00376
56853070 79581.50911 0.00376
54943866 49384.85708 0.00376
88700379 924976.52663 0.00382
57434512 565647.46284 0.00386
11171082 799332.69158 0.00386
68619983 220522.02224 0.00388
99022050 245299.12013 0.0039
97570474 434790.44548 0.00393
73965624 442361.86211 0.00394
18536946 266839.6805 0.00395
