ID VALUE SCORE
93471232 37659.17581 0.02339
51307037 483571.76597 0.02933
44860014 528442.35429 0.05502
78732244 19981.41181 0.09093
29552466 28909.44797 0.13652
88365067 7070.47733 0.17869
13448225 221050.44942 0.21872
99790726 294711.92582 0.25857
78195911 210882.06269 0.78058
21524893 470316.26468 0.29533
20568015 44749.53312 0.37595
96058026 252676.64029 0.44237
24250862 87900.39738 0.44866
12527583 25075.24201 0.45451
29287408 523014.15256 0.5325
50765015 59334.09783 0.5428
4992449 91253.89704 0.58735
72073374 41436.5814 0.59748
69506380 296025.02156 0.60488
31446562 364015.43802 0.6121
79389313 51327.26997 0.61565
80813705 59294.87244 0.61636
18213382 66460.50014 0.62678
68309757 168232.78981 0.63825
83167886 107670.6735 0.64395
96839123 96409.56486 0.65373
78824306 105526.5716 0.66907
42284316 102970.46049 0.75926
95553742 537833.78844 0.76796
27725297 73079.7261 0.27006
16010962 12399.73996 0.79478
92383739 131250.12166 0.81432
36226197 14447.69217 0.84445
10033833 278161.93353 0.85922
97552196 200316.77237 0.89716
10455468 16529.48469 0.908
68951758 145423.87579 0.93663
92103308 238336.17951 0.94011
54510195 759354.39656 0.9939
39437444 260134.18144 0.9949
