ID VALUE SCORE
60811535 390332.64682 4e-05
22738166 499998.50701 6e-05
22036391 1679.85517 0.00011
81480143 334837.23524 0.00012
31886274 19712.5755 0.00015
72954915 504709.52957 0.00017
99742624 82712.54392 0.00022
50491871 165709.73829 0.00024
98343983 170114.36428 0.00025
96742080 720097.77555 0.00026
63590269 114987.31063 0.00027
77770883 42593.17539 0.00027
29345615 455356.29194 0.00028
74968922 66899.92317 0.00029
53351001 414006.66203 0.00029
25846649 148460.46973 0.00029
43777247 396391.45457 0.00029
8065417 171035.78836 0.0003
47503567 76970.95072 0.0003
93397856 79999.80038 0.00034
26423738 29329.131 0.00034
10552379 411659.79762 0.00037
62385394 112061.75198 0.00038
63488053 433986.23997 0.00042
646454 555878.18444 0.00045
5810141 435375.3787 0.00049
26354220 17695.38524 0.0005
83294802 74430.28953 0.00051
52543811 363215.49083 0.00052
28970590 362690.44238 0.00058
44930682 579366.68472 0.00063
83886090 779570.18294 0.00063
45772169 487460.19858 0.00064
70626723 211517.40115 0.00065
46839800 137583.23421 0.00066
36185303 92281.8561 0.00067
73390553 38826.19237 0.00069
84343354 77888.50672 0.00069
74421665 49541.5304 0.00073
87407104 135307.0835 0.00075
52690865 335562.60585 0.00076
51952883 18322.49051 0.00083
31026131 477322.73281 0.00087
79555193 146733.61635 0.00089
15657487 219241.37274 0.00089
25028574 66991.42725 0.0009
81860642 404776.04242 0.00091
14958580 78371.47406 0.00092
82211928 71301.32175 0.00094
54854994 348262.5935 0.00096
1104620 198112.95617 0.00098
4226637 58618.57034 0.00099
57879393 412203.05373 0.00099
17275463 19416.91477 0.001
58257502 264809.47551 0.001
41080566 5808.96464 0.00101
24251296 35303.42785 0.00102
34849613 111457.01805 0.00103
69440785 129063.82904 0.00109
72507795 522315.5569 0.00109
4440015 145870.37044 0.20605
22381318 399340.09219 0.20605
66025173 191272.18017 0.00114
11357296 560248.78862 0.00114
26129405 395798.45452 0.00117
1402826 112190.85816 0.0012
55617422 360248.85683 0.00123
74669061 671361.94639 0.00124
98881103 337961.48091 0.00125
50110562 448927.90212 0.00126
60445490 30911.24652 0.00128
77763937 397066.00956 0.00129
10615222 16141.2616 0.00129
84947687 300601.05753 0.00131
38274704 129709.7398 0.00132
42461493 25679.22136 0.00136
9881262 396442.35599 0.00139
12856009 421836.05302 0.0014
41432714 199058.78746 0.00142
71543207 57583.83745 0.00143
87780632 302064.23751 0.00143
74981700 70861.05006 0.00144
3210113 283940.74072 0.00145
97256812 75260.83126 0.00145
52855749 189528.34599 0.00146
95216377 351523.61647 0.00149
80576457 524392.86241 0.00153
57828379 1357.10188 0.00155
87752896 19359.28429 0.00155
57099385 520850.25597 0.00157
18076640 520490.78712 0.00159
63228902 97623.61101 0.0016
93580427 588714.72352 0.00161
62046298 438149.8039 0.00163
9889266 83834.13034 0.00165
36377067 65633.93633 0.00168
39237453 19955.89905 0.00169
402170 3490.84827 0.00173
11465507 225471.085 0.84928
79271494 372476.67277 0.00176
66987002 1217.81186 0.00177
96475078 568693.90798 0.00186
36914069 725560.81637 0.0019
75433271 26692.46716 0.19884
13728498 353476.67677 0.00199
66995848 57016.10535 0.00203
83761256 282464.16033 0.00205
39023385 341548.95869 0.00205
94752553 250425.87296 0.00212
76217925 241383.41294 0.00213
81293081 2546.4128 0.00214
212757 76229.09705 0.00216
58160441 490785.79342 0.00217
52877232 81394.2249 0.58523
79634453 309517.66915 0.58523
35695282 33672.42388 0.58523
87110579 690827.45786 0.00222
11834820 416976.43475 0.00224
65089002 49047.82038 0.00224
80828884 49813.59987 0.00225
51850251 835696.18153 0.00228
30469432 583036.80505 0.00231
91205575 501991.16597 0.00233
37675898 384754.07271 0.00236
90604544 743583.12405 0.00237
41417425 862773.27202 0.0024
66718286 124488.37599 0.0024
16702764 105661.93578 0.00242
41678754 262352.50456 0.00242
96770152 100054.74519 0.00245
64543527 434618.26042 0.00246
15620487 195441.42566 0.00247
56749055 373489.49206 0.0025
75690339 54521.87368 0.69532
22125221 398364.92449 0.00258
4200581 304902.85996 0.00262
3073169 431833.06554 0.00265
93176685 468800.35653 0.00266
73354219 362118.99693 0.00266
81648287 144086.60023 0.00272
46465142 60267.41978 0.00273
63429602 144316.2427 0.00273
4507432 79840.63244 0.00274
46600021 66612.64187 0.00279
14390442 579854.81521 0.00284
1959431 127619.32033 0.00284
48862300 494455.70116 0.00286
54303422 446916.47772 0.77979
66321283 91252.37622 0.77979
62019890 201727.23223 0.00288
72877251 3283.07791 0.00288
63444430 12956.94289 0.00289
9176413 113424.50397 0.00291
93011197 158411.03748 0.00291
61746830 127730.82432 0.03807
94957771 748057.14853 0.00305
67064856 277262.81594 0.00305
27331813 2218.27029 0.00307
78880851 87965.09672 0.00309
56465727 263582.15656 0.00311
58451354 745664.24823 0.00315
7345299 738779.47779 0.00316
9353213 24525.02272 0.00317
75099894 628991.63815 0.04871
69381581 285628.47702 0.00321
33053197 339980.11913 0.0033
96416791 375021.23804 0.00332
3824652 498318.5257 0.00333
35399523 365329.12597 0.00334
97962380 206550.64266 0.00335
75067493 142563.95781 0.00337
21908023 470723.52602 0.0034
58963709 33586.47019 0.00342
33783267 85563.23319 0.00344
18693504 366341.96404 0.00347
32144698 202518.26159 0.00348
6352129 326991.89768 0.00348
65472524 53787.14629 0.00353
34058718 43366.98185 0.00353
86557050 158.84556 0.00355
10796279 167470.26263 0.00357
86877713 18852.4674 0.00357
45017099 393037.94821 0.00363
58828749 321158.79358 0.00368
57214203 103764.01449 0.00369
43460227 662144.90247 0.00374
35565344 191031.09624 0.00375
73267036 523771.86934 0.00376
19070995 335544.87442 0.00378
75925519 29523.54909 0.00378
48094453 144225.50978 0.00381
9477599 62681.23173 0.00382
25799596 161404.1948 0.00382
20262326 191646.66314 0.00383
72193076 199613.16351 0.00383
1612927 671233.65433 0.00389
35390410 7329.63073 0.00399
16644137 69315.79543 0.004
16365792 132609.58055 0.004
43405624 57006.31942 0.00401
77541 314460.11567 0.00402
16309161 202160.9453 0.00406
31255691 89515.40472 0.00411
57513810 226232.41082 0.00412
88714448 481449.10701 0.00415
41631008 575442.25373 0.00416
92812038 21841.59558 0.00417
82117520 68523.42692 0.00417
1517594 143956.00938 0.00419
49948068 84338.77758 0.00424
19943847 238.75836 0.00424
61228543 498341.18128 0.00427
16694427 53918.26886 0.00427
82405782 210360.67724 0.00429
3230511 22975.39892 0.00435
76722075 184509.40933 0.4238
23501718 53170.95925 0.00443
3766538 299401.12274 0.00445
2084968 190439.98167 0.00445
57841137 462785.35538 0.00448
76368061 485965.72003 0.0045
78519165 620541.62432 0.00451
18192528 56963.26783 0.00451
30400443 91013.47978 0.00451
17660375 46673.02423 0.00456
3743942 52778.76393 0.00458
72984252 41822.75848 0.00458
62625099 120188.75688 0.0046
8056464 690212.78856 0.00464
94492228 33102.16912 0.00464
